Primary Diagnosis Code,Primary Diagnosis Code Description,all_attendances,first_appointment,first_tele,subsequent_appointment,subsequent_tele,unknown_attendance_type,total_tele,total_in_person,tele_adoption_rate,followup_ratio,unknown_rate,priority_score
A521,"Neurosyphilis, unspecified",18.0,3.0,0.0,9.0,6.0,0,6.0,12.0,0.3333333333333333,5.0,0.0,0.0
A523,Other symptomatic late syphilis,30.0,10.0,0.0,20.0,0.0,0,0.0,30.0,0.0,2.0,0.0,0.0
A527,"Late syphilis, latent",2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A528,"Latent syphilis, unspecified as early or late",8.0,2.0,0.0,6.0,0.0,0,0.0,8.0,0.0,3.0,0.0,0.0
A530,"Syphilis, unspecified",49.0,14.0,0.0,32.0,3.0,0,3.0,46.0,0.061224489795918366,2.5,0.0,0.0
A539,Gonococcal infection of eye,6.0,2.0,0.0,4.0,0.0,0,0.0,6.0,0.0,2.0,0.0,0.0
A543,Gonococcal infection of musculoskeletal system,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A544,Gonococcal pharyngitis,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A545,"Gonococcal infection, unspecified",12.0,3.0,0.0,8.0,1.0,0,1.0,11.0,0.08333333333333333,3.0,0.0,0.0
A549,Chlamydial lymphogranuloma (venereum),5.0,3.0,0.0,1.0,1.0,0,1.0,4.0,0.2,0.7,0.0,0.0
A55X,Chlamydial infection of pelviperitoneum and other genitourinary organs,7.0,3.0,1.0,3.0,0.0,0,1.0,6.0,0.14285714285714285,0.8,0.0,0.0
A561,Chancroid,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A57X,Urogenital trichomoniasis,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A590,"Trichomoniasis, unspecified",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A599,Herpesviral infection of genitalia and urogenital tract,113.0,29.0,6.0,69.0,9.0,0,15.0,98.0,0.13274336283185842,2.2,0.0,0.0
A600,Herpesviral infection of perianal skin and rectum,5.0,1.0,0.0,4.0,0.0,0,0.0,5.0,0.0,4.0,0.0,0.0
A601,"Anogenital herpesviral infection, unspecified",17.0,3.0,1.0,11.0,2.0,0,3.0,14.0,0.17647058823529413,3.3,0.0,0.0
A609,Anogenital (venereal) warts,255.0,115.0,3.0,120.0,17.0,0,20.0,235.0,0.0784313725490196,1.2,0.0,0.0
A630,Unspecified sexually transmitted disease,9.0,1.0,0.0,7.0,1.0,0,1.0,8.0,0.1111111111111111,8.0,0.0,0.0
A64X,Other early skin lesions of yaws,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A662,Hyperkeratosis of yaws,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A663,Bone and joint lesions of yaws,8.0,5.0,0.0,2.0,1.0,0,1.0,7.0,0.125,0.6,0.0,0.0
A666,"Relapsing fever, unspecified",107.0,41.0,0.0,52.0,14.0,0,14.0,93.0,0.1308411214953271,1.6,0.0,0.0
A689,Necrotizing ulcerative stomatitis,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A690,Other Vincent infections,10.0,9.0,0.0,1.0,0.0,0,0.0,10.0,0.0,0.1,0.0,0.0
A691,Lyme disease,88.0,38.0,3.0,32.0,15.0,0,18.0,70.0,0.20454545454545456,1.1,0.0,0.0
A692,Other specified spirochaetal infections,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A698,"Spirochaetal infection, unspecified",7.0,3.0,1.0,3.0,0.0,0,1.0,6.0,0.14285714285714285,0.8,0.0,0.0
A699,Initial stage of trachoma,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A710,"Trachoma, unspecified",2.0,0.0,0.0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0
A719,Chlamydial conjunctivitis,14.0,7.0,0.0,7.0,0.0,0,0.0,14.0,0.0,1.0,0.0,0.0
A740,Other chlamydial diseases,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A748,"Chlamydial infection, unspecified",19.0,6.0,1.0,9.0,3.0,0,4.0,15.0,0.21052631578947367,1.7,0.0,0.0
A749,"Typhus fever, unspecified",2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A759,"Spotted fever, unspecified",3.0,2.0,0.0,1.0,0.0,0,0.0,3.0,0.0,0.5,0.0,0.0
A779,Q fever,10.0,3.0,1.0,2.0,4.0,0,5.0,5.0,0.5,1.5,0.0,0.0
A78X,Other specified rickettsioses,3.0,0.0,0.0,2.0,1.0,0,1.0,2.0,0.3333333333333333,0.0,0.0,0.0
A798,"Rickettsiosis, unspecified",3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
A799,"Acute paralytic poliomyelitis, other and unspecified",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A803,"Acute poliomyelitis, unspecified",52.0,10.0,0.0,36.0,6.0,0,6.0,46.0,0.11538461538461539,4.2,0.0,0.0
A809,Creutzfeldt-Jakob disease,11.0,8.0,0.0,3.0,0.0,0,0.0,11.0,0.0,0.4,0.0,0.0
A810,Progressive multifocal leukoencephalopathy,13.0,1.0,0.0,9.0,3.0,0,3.0,10.0,0.23076923076923078,12.0,0.0,0.0
A812,Other atypical virus infections of central nervous system,2.0,0.0,0.0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0
A818,"Atypical virus infection of central nervous system, unspecified",4.0,2.0,0.0,2.0,0.0,0,0.0,4.0,0.0,1.0,0.0,0.0
A819,"Rabies, unspecified",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A829,St Louis encephalitis,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A833,"Mosquito-borne viral encephalitis, unspecified",1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A839,Central European tick-borne encephalitis,7.0,7.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0.0,0.0
A841,Enteroviral encephalitis,2.0,0.0,0.0,1.0,1.0,0,1.0,1.0,0.5,0.0,0.0,0.0
A850,Adenoviral encephalitis,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A851,Other specified viral encephalitis,5.0,2.0,0.0,3.0,0.0,0,0.0,5.0,0.0,1.5,0.0,0.0
A858,Unspecified viral encephalitis,21.0,5.0,0.0,12.0,4.0,0,4.0,17.0,0.19047619047619047,3.2,0.0,0.0
A86X,Enteroviral meningitis,44.0,21.0,2.0,18.0,3.0,0,5.0,39.0,0.11363636363636363,0.9,0.0,0.0
A870,Adenoviral meningitis,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A871,Lymphocytic choriomeningitis,7.0,4.0,0.0,3.0,0.0,0,0.0,7.0,0.0,0.8,0.0,0.0
A872,"Viral meningitis, unspecified",40.0,16.0,4.0,18.0,2.0,0,6.0,34.0,0.15,1.0,0.0,0.0
A879,Epidemic vertigo,22.0,15.0,2.0,4.0,1.0,0,3.0,19.0,0.13636363636363635,0.3,0.0,0.0
A881,Other specified viral infections of central nervous system,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A888,Unspecified viral infection of central nervous system,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A89X,Chikungunya virus disease,12.0,5.0,0.0,6.0,1.0,0,1.0,11.0,0.08333333333333333,1.4,0.0,0.0
A920,Other specified mosquito-borne viral fevers,5.0,1.0,0.0,3.0,1.0,0,1.0,4.0,0.2,4.0,0.0,0.0
A928,Other specified arthropod-borne viral fevers,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A938,Unspecified arthropod-borne viral fever,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A94X,Dengue without warning signs,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A970,"Dengue, unspecified",46.0,19.0,7.0,14.0,6.0,0,13.0,33.0,0.2826086956521739,0.8,0.0,0.0
A979,Unspecified viral haemorrhagic fever,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A99X,Eczema herpeticum,167.0,91.0,3.0,66.0,7.0,0,10.0,157.0,0.059880239520958084,0.8,0.0,0.0
B000,Herpesviral vesicular dermatitis,138.0,56.0,5.0,51.0,26.0,0,31.0,107.0,0.2246376811594203,1.3,0.0,0.0
B001,Herpesviral gingivostomatitis and pharyngotonsillitis,57.0,29.0,0.0,25.0,3.0,0,3.0,54.0,0.05263157894736842,1.0,0.0,0.0
B002,Herpesviral meningitis,4.0,2.0,1.0,1.0,0.0,0,1.0,3.0,0.25,0.3,0.0,0.0
B003,Herpesviral encephalitis,31.0,15.0,0.0,12.0,4.0,0,4.0,27.0,0.12903225806451613,1.1,0.0,0.0
B004,Herpesviral ocular disease,2102.0,769.0,10.0,1307.0,16.0,0,26.0,2076.0,0.012369172216936251,1.7,0.0,0.35500544069640916
B005,Other forms of herpesviral infection,44.0,13.0,3.0,22.0,6.0,0,9.0,35.0,0.20454545454545456,1.8,0.0,0.0
B008,"Herpesviral infection, unspecified",402.0,127.0,14.0,162.0,99.0,0,113.0,289.0,0.2810945273631841,1.9,0.0,0.801468988030468
B009,Varicella encephalitis,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
B011,Varicella pneumonia,6.0,2.0,0.0,4.0,0.0,0,0.0,6.0,0.0,2.0,0.0,0.0
B012,Varicella with other complications,26.0,8.0,0.0,15.0,3.0,0,3.0,23.0,0.11538461538461539,2.3,0.0,0.0
